side,entry,exit,quantity,pnl_pct,pnl_usdt,equity,timestamp
LONG,70694.7,70811.8,0.071,0.0016564183736546844,41.570500000002056,10041.570500000002,2026-03-25 15:00:00
SHORT,66436.0,66711.8,0.076,-0.004151363718465936,-104.8040000000011,9936.7665,2026-03-29 06:00:00
SHORT,66546.1,67548.8,0.075,-0.015067750025921835,-376.01249999999885,9560.754,2026-03-30 04:00:00
LONG,67786.3,68363.8,0.071,0.008519420590886359,205.0125,9765.766500000002,2026-04-01 12:00:00
LONG,67398.2,69833.0,0.072,0.03612559385858974,876.5280000000009,10642.294500000002,2026-04-06 18:00:00
LONG,72148.1,75358.0,0.074,0.04449043010141631,1187.6629999999977,11829.9575,2026-04-14 13:00:00
LONG,75346.1,77087.6,0.079,0.02311333964199872,687.8924999999999,12517.85,2026-04-17 23:00:00
LONG,76268.2,79275.0,0.082,0.03942403255878601,1232.7880000000011,13750.638,2026-04-22 15:00:00
LONG,78244.7,77841.3,0.088,-0.0051556207640900175,-177.49599999999742,13573.142000000003,2026-04-23 20:00:00
LONG,78219.6,77929.9,0.087,-0.003703675293660561,-126.01950000000505,13447.122499999998,2026-04-24 05:00:00
SHORT,75439.1,76375.1,0.089,-0.012407359048557047,-416.52,13030.602499999997,2026-04-30 13:00:00
LONG,81053.9,81344.4,0.08,0.003584034821273252,116.20000000000002,13146.802499999998,2026-05-11 15:00:00
LONG,81556.6,80830.5,0.081,-0.00890301949811549,-294.07050000000237,12852.731999999996,2026-05-12 08:00:00
